Whale_ID,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,Peak.Freq..Hz.,Dur.90...s.,Begin.File,BW.90...Hz.,Center.Freq..Hz.,Freq.5...Hz.,Freq.95...Hz.,Time.95..Rel.,PFC.Num.Inf.Pts,Notes,Harmonics,SNR,dB.RMS,FreqRange,CallType,seconds_elapsed,Time_of_Day,Time_Only
bp23_205c,95,Spectrogram 1,1,8984.289848,8985.02314,18.293,242.152,35.156,0.1707,bp23_205c001_48kHz.wav,117.188,35.156,29.297,146.484,0.75,4,pulse,,20,158,HF,HFD,8984.289848,32:37.3,15:32:37
bp23_205d,1,Spectrogram 1,1,5986.508025,5987.375909,8.721,444.767,46.875,0.1905,bp23_205d001_2kHz.wav,15.625,46.875,39.062,54.688,,3,call,Y,38,185.8,HF,HFD,5986.508025,52:36.5,17:52:36
,3,Spectrogram 1,1,6622.655534,6624.999284,0.9,170.058,23.438,1.7145,bp23_205d001_2kHz.wav,15.625,23.438,15.625,31.25,,5,downsweep?,Y,21,178.8,LF,LFR,6622.655534,03:12.7,18:03:12
,5,Spectrogram 1,1,6631.780772,6633.391229,0,119.913,23.438,0.508,bp23_205d001_2kHz.wav,15.625,23.438,15.625,31.25,,1,pulse/call,Y,36,187.8,LF,LFR,6631.780772,03:21.8,18:03:21
,7,Spectrogram 1,1,6659.574425,6660.776466,0,644.904,15.625,0.508,bp23_205d001_2kHz.wav,7.812,15.625,15.625,23.438,,1,20 Hz pulse,Y,45,192.8,LF,LFDB,6659.574425,03:49.6,18:03:49
,9,Spectrogram 1,1,6668.584771,6669.90284,0,824.207,15.625,0.5715,bp23_205d001_2kHz.wav,7.812,23.438,15.625,23.438,,0,20 Hz pulse,Y,45,192.8,LF,LFDB,6668.584771,03:58.6,18:03:58
,11,Spectrogram 1,1,6676.995186,6678.16474,0,597.134,23.438,0.508,bp23_205d001_2kHz.wav,7.812,23.438,15.625,23.438,,2,20 Hz pulse,Y,47,192.8,LF,LFDB,6676.995186,04:07.0,18:04:06
,13,Spectrogram 1,1,6682.078697,6684.63177,0,716.561,23.438,0.8255,bp23_205d001_2kHz.wav,15.625,23.438,15.625,31.25,,5,downsweep?,Y,47,191.8,LF,LFR,6682.078697,04:12.1,18:04:12
,15,Spectrogram 1,1,6770.112817,6771.284077,0,358.28,15.625,0.508,bp23_205d001_2kHz.wav,7.812,15.625,15.625,23.438,,1,pulse,Y,29,191.8,LF,LFDB,6770.112817,05:40.1,18:05:40
,17,Spectrogram 1,1,6939.745234,6941.629515,0,530.255,23.438,0.635,bp23_205d001_2kHz.wav,15.625,23.438,15.625,31.25,,2,call/downsweep?,Y,44,190.8,LF,LFR,6939.745234,08:29.7,18:08:29
,19,Spectrogram 1,1,7248.936648,7249.553913,9.327,595.477,46.875,0.1905,bp23_205d002_2kHz.wav,15.625,46.875,39.062,54.688,,1,40 Hz pulse,Y,23,187.8,HF,HFD,7248.936648,13:38.9,18:13:38
