Selection	View	Channel	Begin.Time..s.	End.Time..s.	Low.Freq..Hz.	High.Freq..Hz.	Begin.File	Peak.Freq..Hz.	Dur.90...s.	BW.90...Hz.	Center.Freq..Hz.	Freq.5...Hz.	Freq.95...Hz.	PFC.Num.Inf.Pts	Notes	Harmonics.	SNR	RMS	FreqRange	CallType	seconds_elapsed	Time_of_Day	Time_Only
1	Waveform 1	1	5986.508025	5987.375909	8.721	444.767	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	call	Y	38	185.8	HF	HFD	5986.508025	2023-07-24 17:52:36.508025	17:52:36
1	Spectrogram 1	1	5986.508025	5987.375909	8.721	444.767	bp23_205d001_2kHz.wav	46.875	0.1905	15.625	46.875	39.062	54.688	3	call	Y	38	185.8	HF	HFD	5986.508025	2023-07-24 17:52:36.508025	17:52:36
3	Waveform 1	1	6622.655534	6624.999284	0.9	170.058	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	downsweep?	Y	21	178.8	LF	LFR	6622.655534	2023-07-24 18:03:12.655534	18:03:12
3	Spectrogram 1	1	6622.655534	6624.999284	0.9	170.058	bp23_205d001_2kHz.wav	23.438	1.7145	15.625	23.438	15.625	31.25	5	downsweep?	Y	21	178.8	LF	LFR	6622.655534	2023-07-24 18:03:12.655534	18:03:12
5	Waveform 1	1	6631.780772	6633.391229	0	119.913	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	pulse/call	Y	36	187.8	LF	LFR	6631.780772	2023-07-24 18:03:21.780772	18:03:21
5	Spectrogram 1	1	6631.780772	6633.391229	0	119.913	bp23_205d001_2kHz.wav	23.438	0.508	15.625	23.438	15.625	31.25	1	pulse/call	Y	36	187.8	LF	LFR	6631.780772	2023-07-24 18:03:21.780772	18:03:21
7	Waveform 1	1	6659.574425	6660.776466	0	644.904	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	20 Hz pulse	Y	45	192.8	LF	LFDB	6659.574425	2023-07-24 18:03:49.574425	18:03:49
7	Spectrogram 1	1	6659.574425	6660.776466	0	644.904	bp23_205d001_2kHz.wav	15.625	0.508	7.812	15.625	15.625	23.438	1	20 Hz pulse	Y	45	192.8	LF	LFDB	6659.574425	2023-07-24 18:03:49.574425	18:03:49
9	Waveform 1	1	6668.584771	6669.90284	0	824.207	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	20 Hz pulse	Y	45	192.8	LF	LFDB	6668.584771	2023-07-24 18:03:58.584771	18:03:58
9	Spectrogram 1	1	6668.584771	6669.90284	0	824.207	bp23_205d001_2kHz.wav	15.625	0.5715	7.812	23.438	15.625	23.438	0	20 Hz pulse	Y	45	192.8	LF	LFDB	6668.584771	2023-07-24 18:03:58.584771	18:03:58
11	Waveform 1	1	6676.995186	6678.16474	0	597.134	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	20 Hz pulse	Y	47	192.8	LF	LFDB	6676.995186	2023-07-24 18:04:06.995186	18:04:06
11	Spectrogram 1	1	6676.995186	6678.16474	0	597.134	bp23_205d001_2kHz.wav	23.438	0.508	7.812	23.438	15.625	23.438	2	20 Hz pulse	Y	47	192.8	LF	LFDB	6676.995186	2023-07-24 18:04:06.995186	18:04:06
13	Waveform 1	1	6682.078697	6684.63177	0	716.561	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	downsweep?	Y	47	191.8	LF	LFR	6682.078697	2023-07-24 18:04:12.078697	18:04:12
13	Spectrogram 1	1	6682.078697	6684.63177	0	716.561	bp23_205d001_2kHz.wav	23.438	0.8255	15.625	23.438	15.625	31.25	5	downsweep?	Y	47	191.8	LF	LFR	6682.078697	2023-07-24 18:04:12.078697	18:04:12
15	Waveform 1	1	6770.112817	6771.284077	0	358.28	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	pulse	Y	29	191.8	LF	LFDB	6770.112817	2023-07-24 18:05:40.112817	18:05:40
15	Spectrogram 1	1	6770.112817	6771.284077	0	358.28	bp23_205d001_2kHz.wav	15.625	0.508	7.812	15.625	15.625	23.438	1	pulse	Y	29	191.8	LF	LFDB	6770.112817	2023-07-24 18:05:40.112817	18:05:40
17	Waveform 1	1	6939.745234	6941.629515	0	530.255	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	call/downsweep?	Y	44	190.8	LF	LFR	6939.745234	2023-07-24 18:08:29.745234	18:08:29
17	Spectrogram 1	1	6939.745234	6941.629515	0	530.255	bp23_205d001_2kHz.wav	23.438	0.635	15.625	23.438	15.625	31.25	2	call/downsweep?	Y	44	190.8	LF	LFR	6939.745234	2023-07-24 18:08:29.745234	18:08:29
