Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Peak Freq (Hz)	Dur 90% (s)	BW 90% (Hz)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	PFC Num Inf Pts	Notes	Harmonics?	SNR	RMS	FreqRange	CallType
1	Waveform 1	1	5986.508025000	5987.375909000	8.721	444.767	bp23_205d001_2kHz.wav								call	Y	38	185.8	HF	HFD
1	Spectrogram 1	1	5986.508025000	5987.375909000	8.721	444.767	bp23_205d001_2kHz.wav	46.875	0.1905	15.625	46.875	39.062	54.688	3.000	call	Y	38	185.8	HF	HFD
3	Waveform 1	1	6622.655534000	6624.999284000	0.900	170.058	bp23_205d001_2kHz.wav								downsweep?	Y	21	178.8	LF	LFR
3	Spectrogram 1	1	6622.655534000	6624.999284000	0.900	170.058	bp23_205d001_2kHz.wav	23.438	1.7145	15.625	23.438	15.625	31.250	5.000	downsweep?	Y	21	178.8	LF	LFR
5	Waveform 1	1	6631.780772000	6633.391229000	0.000	119.913	bp23_205d001_2kHz.wav								pulse/call	Y	36	187.8	LF	LFR
5	Spectrogram 1	1	6631.780772000	6633.391229000	0.000	119.913	bp23_205d001_2kHz.wav	23.438	0.5080	15.625	23.438	15.625	31.250	1.000	pulse/call	Y	36	187.8	LF	LFR
7	Waveform 1	1	6659.574425000	6660.776466000	0.000	644.904	bp23_205d001_2kHz.wav								20 Hz pulse	Y	45	192.8	LF	LFDB
7	Spectrogram 1	1	6659.574425000	6660.776466000	0.000	644.904	bp23_205d001_2kHz.wav	15.625	0.5080	7.812	15.625	15.625	23.438	1.000	20 Hz pulse	Y	45	192.8	LF	LFDB
9	Waveform 1	1	6668.584771000	6669.902840000	0.000	824.207	bp23_205d001_2kHz.wav								20 Hz pulse	Y	45	192.8	LF	LFDB
9	Spectrogram 1	1	6668.584771000	6669.902840000	0.000	824.207	bp23_205d001_2kHz.wav	15.625	0.5715	7.812	23.438	15.625	23.438	0.000	20 Hz pulse	Y	45	192.8	LF	LFDB
11	Waveform 1	1	6676.995186000	6678.164740000	0.000	597.134	bp23_205d001_2kHz.wav								20 Hz pulse	Y	47	192.8	LF	LFDB
11	Spectrogram 1	1	6676.995186000	6678.164740000	0.000	597.134	bp23_205d001_2kHz.wav	23.438	0.5080	7.812	23.438	15.625	23.438	2.000	20 Hz pulse	Y	47	192.8	LF	LFDB
13	Waveform 1	1	6682.078697000	6684.631770000	0.000	716.561	bp23_205d001_2kHz.wav								downsweep?	Y	47	191.8	LF	LFR
13	Spectrogram 1	1	6682.078697000	6684.631770000	0.000	716.561	bp23_205d001_2kHz.wav	23.438	0.8255	15.625	23.438	15.625	31.250	5.000	downsweep?	Y	47	191.8	LF	LFR
15	Waveform 1	1	6770.112817000	6771.284077000	0.000	358.280	bp23_205d001_2kHz.wav								pulse	Y	29	191.8	LF	LFDB
15	Spectrogram 1	1	6770.112817000	6771.284077000	0.000	358.280	bp23_205d001_2kHz.wav	15.625	0.5080	7.812	15.625	15.625	23.438	1.000	pulse	Y	29	191.8	LF	LFDB
17	Waveform 1	1	6939.745234000	6941.629515000	0.000	530.255	bp23_205d001_2kHz.wav								call/downsweep?	Y	44	190.8	LF	LFR
17	Spectrogram 1	1	6939.745234000	6941.629515000	0.000	530.255	bp23_205d001_2kHz.wav	23.438	0.6350	15.625	23.438	15.625	31.250	2.000	call/downsweep?	Y	44	190.8	LF	LFR
19	Waveform 1	1	7248.936648000	7249.553913000	9.327	595.477	bp23_205d002_2kHz.wav								40 Hz pulse	Y	23	187.8	HF	HFD
19	Spectrogram 1	1	7248.936648000	7249.553913000	9.327	595.477	bp23_205d002_2kHz.wav	46.875	0.1905	15.625	46.875	39.062	54.688	1.000	40 Hz pulse	Y	23	187.8	HF	HFD
21	Waveform 1	1	8298.979774000	8300.511333000	0.000	117.259	bp23_205d002_2kHz.wav								20 Hz pulse?	y	33	188.8	LF	LFR
21	Spectrogram 1	1	8298.979774000	8300.511333000	0.000	117.259	bp23_205d002_2kHz.wav	23.438	0.8890	15.625	23.438	15.625	31.250	1.000	20 Hz pulse?	y	33	188.8	LF	LFR
23	Waveform 1	1	8571.723700000	8573.304607000	0.000	285.152	bp23_205d002_2kHz.wav								20 Hz pulse?	Y	38	189.8	LF	LFR
23	Spectrogram 1	1	8571.723700000	8573.304607000	0.000	285.152	bp23_205d002_2kHz.wav	23.438	0.5715	15.625	23.438	15.625	31.250	3.000	20 Hz pulse?	Y	38	189.8	LF	LFR
25	Waveform 1	1	10443.198170000	10443.843280000	0.000	469.036	bp23_205d002_2kHz.wav								pulse?	Y	38	189.8	HF	HFD
25	Spectrogram 1	1	10443.198170000	10443.843280000	0.000	469.036	bp23_205d002_2kHz.wav	39.062	0.1905	15.625	39.062	31.250	46.875	3.000	pulse?	Y	38	189.8	HF	HFD
27	Waveform 1	1	10724.411610000	10725.251650000	0.000	277.157	bp23_205d002_2kHz.wav								40 Hz	Y	30	186.8	HF	HFD
27	Spectrogram 1	1	10724.411610000	10725.251650000	0.000	277.157	bp23_205d002_2kHz.wav	39.062	0.2540	15.625	39.062	31.250	46.875	3.000	40 Hz	Y	30	186.8	HF	HFD
29	Waveform 1	1	10930.386950000	10931.189860000	0.000	429.061	bp23_205d002_2kHz.wav								40 Hz	Y	41	187.8	HF	HFD
29	Spectrogram 1	1	10930.386950000	10931.189860000	0.000	429.061	bp23_205d002_2kHz.wav	46.875	0.1905	15.625	46.875	39.062	54.688	3.000	40 Hz	Y	41	187.8	HF	HFD
