Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Dur 90% (s)	BW 90% (Hz)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	PFC Num Inf Pts	Notes	SNR	RMS	FreqRange	CallType
1	Waveform 1	1	7335.800554012	7336.806879644	9.620	62.092		bp23_206f002_2kHz.wav							pulse	10	140	LF	LFD
1	Spectrogram 1	1	7335.800554012	7336.806879644	9.620	62.092	31.250	bp23_206f002_2kHz.wav	0.5760	23.438	23.438	15.625	39.062	0.000	pulse	10	140	LF	LFD
3	Waveform 1	1	697.112972301	698.256158219	10.494	72.586		bp23_206f001_2kHz.wav							Call	10	143	LF	LFDB
3	Spectrogram 1	1	697.112972301	698.256158219	10.494	72.586	23.438	bp23_206f001_2kHz.wav	0.6400	31.250	23.438	15.625	46.875	4.000	Call	10	143	LF	LFDB
5	Waveform 1	1	744.159898600	745.629103985	13.118	153.918		bp23_206f001_2kHz.wav							Call	13	148	LF	LFDB
5	Spectrogram 1	1	744.159898600	745.629103985	13.118	153.918	31.250	bp23_206f001_2kHz.wav	0.6400	23.438	31.250	23.438	46.875	3.000	Call	13	148	LF	LFDB
7	Waveform 1	1	1006.789164541	1007.827692594	13.118	199.394		bp23_206f001_2kHz.wav							pulse	12	142	LF	LFDB
7	Spectrogram 1	1	1006.789164541	1007.827692594	13.118	199.394	31.250	bp23_206f001_2kHz.wav	0.4480	46.875	31.250	23.438	70.312	1.000	pulse	12	142	LF	LFDB
9	Waveform 1	1	1015.834097877	1016.687462014	10.494	46.350		bp23_206f001_2kHz.wav							pulse	13	143	LF	LFD
9	Spectrogram 1	1	1015.834097877	1016.687462014	10.494	46.350	31.250	bp23_206f001_2kHz.wav	0.3200	15.625	31.250	23.438	39.062	1.000	pulse	13	143	LF	LFD
11	Waveform 1	1	9583.103883000	9584.804086000	15.742	187.990		bp23_206f002_2kHz.wav							call	13	143	LF	LFDB
11	Spectrogram 1	1	9583.103883000	9584.804086000	15.742	187.990	31.250	bp23_206f002_2kHz.wav	0.6400	93.750	31.250	23.438	117.188	6.000	call	13	143	LF	LFDB
13	Waveform 1	1	9916.106991881	9917.165513000	9.894	48.234		bp23_206f002_2kHz.wav							pulse	11	142	LF	LFD
13	Spectrogram 1	1	9916.106991881	9917.165513000	9.894	48.234	31.250	bp23_206f002_2kHz.wav	0.5760	23.438	31.250	15.625	39.062	0.000	pulse	11	142	LF	LFD
15	Waveform 1	1	394.557924511	395.612553774	11.369	51.597		bp23_206f001_2kHz.wav							pulse	11	143	LF	LFD
15	Spectrogram 1	1	394.557924511	395.612553774	11.369	51.597	23.438	bp23_206f001_2kHz.wav	0.5120	15.625	23.438	15.625	31.250	2.000	pulse	11	143	LF	LFD
17	Waveform 1	1	1274.793289486	1275.894566000	8.745	53.347		bp23_206f001_2kHz.wav							pulse	10	141	LF	LFD
17	Spectrogram 1	1	1274.793289486	1275.894566000	8.745	53.347	23.438	bp23_206f001_2kHz.wav	0.5120	15.625	23.438	15.625	31.250	0.000	pulse	10	141	LF	LFD
19	Waveform 1	1	1688.173983000	1689.381665000	10.494	45.476		bp23_206f001_2kHz.wav							pulse	11	143	LF	LFD
19	Spectrogram 1	1	1688.173983000	1689.381665000	10.494	45.476	31.250	bp23_206f001_2kHz.wav	0.5120	15.625	31.250	23.438	39.062	0.000	pulse	11	143	LF	LFD
21	Waveform 1	1	1918.135321000	1919.229534000	11.369	56.441		bp23_206f001_2kHz.wav							pulse	10	141	LF	LFD
21	Spectrogram 1	1	1918.135321000	1919.229534000	11.369	56.441	31.250	bp23_206f001_2kHz.wav	0.5120	23.438	23.438	15.625	39.062	0.000	pulse	10	141	LF	LFD
