Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	End Clock Time	Begin File	Peak Freq (Hz)	Dur 90% (s)	BW 90% (Hz)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	PFC Num Inf Pts	Notes	SNR	RMS	FreqRange	CallType
1	Waveform 1	1	1689.761384	1690.41125	13.956	215.517	1689.7614	1690.4113	bp23_212d001_48kHz.wav								pulse	18	160	HF	HFD
1	Spectrogram 1	1	1689.761384	1690.41125	13.956	215.517	1689.7614	1690.4113	bp23_212d001_48kHz.wav	41.016	0.256	99.609	41.016	35.156	134.766	2	pulse	18	160	HF	HFD
3	Waveform 1	1	2197.598776	2198.176363	22.915	258.621	2197.5988	2198.1764	bp23_212d001_48kHz.wav								pulse (good example)	21	161	HF	HFD
3	Spectrogram 1	1	2197.598776	2198.176363	22.915	258.621	2197.5988	2198.1764	bp23_212d001_48kHz.wav	41.016	0.1707	105.469	46.875	35.156	140.625	1	pulse (good example)	21	161	HF	HFD
5	Waveform 1	1	7087.040381	7087.512952	22.915	262.931	7087.0404	7087.513	bp23_212d001_48kHz.wav								pulse	13	155	HF	HFD
5	Spectrogram 1	1	7087.040381	7087.512952	22.915	262.931	7087.0404	7087.513	bp23_212d001_48kHz.wav	41.016	0.256	128.906	41.016	35.156	164.062	0	pulse	13	155	HF	HFD
7	Waveform 1	1	7166.577923	7167.103003	22.915	235.702	7166.5779	7167.103	bp23_212d001_48kHz.wav								pulse	12	155	HF	HFD
7	Spectrogram 1	1	7166.577923	7167.103003	22.915	235.702	7166.5779	7167.103	bp23_212d001_48kHz.wav	41.016	0.256	117.188	41.016	35.156	152.344	1	pulse	12	155	HF	HFD
9	Waveform 1	1	7388.943327	7389.599676	13.095	211.15	7388.9433	7389.5997	bp23_212d001_48kHz.wav								pulse	18	160	HF	HFD
9	Spectrogram 1	1	7388.943327	7389.599676	13.095	211.15	7388.9433	7389.5997	bp23_212d001_48kHz.wav	41.016	0.1707	82.031	41.016	35.156	117.188	0	pulse	18	160	HF	HFD
11	Waveform 1	1	9465.981602	9466.795475	9.821	206.239	9465.9816	9466.7955	bp23_212d001_48kHz.wav								pulse	18	156	LF	LFDB
11	Spectrogram 1	1	9465.981602	9466.795475	9.821	206.239	9465.9816	9466.7955	bp23_212d001_48kHz.wav	29.297	0.4267	134.766	29.297	23.438	158.203	1	pulse	18	156	LF	LFDB
13	Waveform 1	1	34139.98342	34140.98107	6.547	119.488	34139.9834	34140.9811	bp23_212d003_48kHz.wav								pulse	15	153	LF	LFDB
13	Spectrogram 1	1	34139.98342	34140.98107	6.547	119.488	34139.9834	34140.9811	bp23_212d003_48kHz.wav	29.297	0.3413	11.719	29.297	23.438	35.156	2	pulse	15	153	LF	LFDB
15	Waveform 1	1	51855.85124	51856.45508	18.319	230.769	51855.8512	51856.4551	bp23_212d004_48kHz.wav								pulse	14	152	HF	W
15	Spectrogram 1	1	51855.85124	51856.45508	18.319	230.769	51855.8512	51856.4551	bp23_212d004_48kHz.wav	41.016	0.3413	117.188	41.016	35.156	152.344	0	pulse	14	152	HF	W
17	Waveform 1	1	70026.88178	70027.29252	26.94	405.367	70026.8818	70027.2925	bp23_212d005_48kHz.wav								pulse	10	154	HHF	U
17	Spectrogram 1	1	70026.88178	70027.29252	26.94	405.367	70026.8818	70027.2925	bp23_212d005_48kHz.wav	105.469	0.1707	117.188	105.469	52.734	169.922	1	pulse	10	154	HHF	U
