Selection	View	Channel	Begin.Time..s.	End.Time..s.	Low.Freq..Hz.	High.Freq..Hz.	Dur.90...s.	BW.90...Hz.	Center.Freq..Hz.	Freq.5...Hz.	Freq.95...Hz.	Sel....	SNR	RMS	FreqRange	CallType	seconds_elapsed	Time_of_Day	Time_Only
58	Spectrogram 1	1	32058.94507	32060.95448	2.095	37.709	1.664	11.719	3.906	3.906	15.625	sel. 58	12	157.8	LF	LFR	32058.94507	01:52.9	23:01:52
58	Waveform 1	1	32058.94507	32060.95448	2.095	37.709	NA	NA	NA	NA	NA	sel. 58	12	157.8	LF	LFR	32058.94507	01:52.9	23:01:52
80	Spectrogram 1	1	40103.39493	40104.48842	17.696	41.478	0.512	7.812	31.25	27.344	35.156	sel. 80	21	176.8	LF	LFC	40103.39493	15:57.4	1:15:57
80	Waveform 1	1	40103.39493	40104.48842	17.696	41.478	NA	NA	NA	NA	NA	sel. 80	21	176.8	LF	LFC	40103.39493	15:57.4	1:15:57
78	Spectrogram 1	1	40163.29034	40164.47729	0	34.567	0.512	7.812	3.906	0	7.812	sel. 78	10	159.8	LF	BP	40163.29034	16:57.3	1:16:57
78	Waveform 1	1	40163.29034	40164.47729	0	34.567	NA	NA	NA	NA	NA	sel. 78	10	159.8	LF	BP	40163.29034	16:57.3	1:16:57
112	Spectrogram 1	1	44343.70796	44345.12857	12.406	39.699	0.512	11.719	23.438	19.531	31.25	sel. 112	16	162.8	LF	LFD	44343.70796	26:37.7	2:26:37
112	Waveform 1	1	44343.70796	44345.12857	12.406	39.699	NA	NA	NA	NA	NA	sel. 112	16	162.8	LF	LFD	44343.70796	26:37.7	2:26:37
119	Spectrogram 1	1	44635.80285	44636.87765	8.594	39.997	0.512	7.812	19.531	15.625	23.438	sel. 119	12	159.8	LF	LFC	44635.80285	31:29.8	2:31:29
119	Waveform 1	1	44635.80285	44636.87765	8.594	39.997	NA	NA	NA	NA	NA	sel. 119	12	159.8	LF	LFC	44635.80285	31:29.8	2:31:29
129	Spectrogram 1	1	44773.54249	44775.15002	10.742	44.044	0.896	11.719	23.438	15.625	27.344	sel. 129	13	160.8	LF	LFD	44773.54249	33:47.5	2:33:47
129	Waveform 1	1	44773.54249	44775.15002	10.742	44.044	NA	NA	NA	NA	NA	sel. 129	13	160.8	LF	LFD	44773.54249	33:47.5	2:33:47
130	Spectrogram 1	1	44783.89828	44784.90766	10.742	36.524	0.384	7.812	19.531	15.625	23.438	sel. 130	20	165.8	LF	LFC	44783.89828	33:57.9	2:33:57
130	Waveform 1	1	44783.89828	44784.90766	10.742	36.524	NA	NA	NA	NA	NA	sel. 130	20	165.8	LF	LFC	44783.89828	33:57.9	2:33:57
131	Spectrogram 1	1	44790.45108	44791.79692	12.891	38.673	0.64	7.812	19.531	15.625	23.438	sel. 131	13	162.8	LF	LFD	44790.45108	34:04.5	2:34:04
131	Waveform 1	1	44790.45108	44791.79692	12.891	38.673	NA	NA	NA	NA	NA	sel. 131	13	162.8	LF	LFD	44790.45108	34:04.5	2:34:04
137	Spectrogram 1	1	44885.22383	44886.23321	9.668	38.673	0.512	7.812	19.531	15.625	23.438	sel. 137	10	160.8	LF	LFC	44885.22383	35:39.2	2:35:39
137	Waveform 1	1	44885.22383	44886.23321	9.668	38.673	NA	NA	NA	NA	NA	sel. 137	10	160.8	LF	LFC	44885.22383	35:39.2	2:35:39
144	Spectrogram 1	1	44989.75692	44991.02799	12.891	59.814	0.384	7.812	23.438	19.531	27.344	sel. 144	18	165.8	LF	LFD	44989.75692	37:23.8	2:37:23
144	Waveform 1	1	44989.75692	44991.02799	12.891	59.814	NA	NA	NA	NA	NA	sel. 144	18	165.8	LF	LFD	44989.75692	37:23.8	2:37:23
