Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	BW 90% (Hz)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	Sel.(#)	Notes	Harmonics?	SNR	RMS	FreqRange	CallType
78	Waveform 1	1	40163.290339176	40164.477294476	0.000	34.567						sel. 78	20 Hz	Y	10	159.8	LF	BP
78	Spectrogram 1	1	40163.290339176	40164.477294476	0.000	34.567	0.5120	7.812	3.906	0.000	7.812	sel. 78	20 Hz	Y	10	159.8	LF	BP
80	Waveform 1	1	40103.394928186	40104.488422439	17.696	41.478						sel. 80	nfc 40 Hz?	N	21	176.8	LF	LFC
80	Spectrogram 1	1	40103.394928186	40104.488422439	17.696	41.478	0.5120	7.812	31.250	27.344	35.156	sel. 80	nfc 40 Hz?	N	21	176.8	LF	LFC
119	Waveform 1	1	44635.802845160	44636.877647203	8.594	39.997						sel. 119	20 Hz doublet?	Y	12	159.8	LF	LFD
119	Spectrogram 1	1	44635.802845160	44636.877647203	8.594	39.997	0.5120	7.812	19.531	15.625	23.438	sel. 119	20 Hz doublet?	Y	12	159.8	LF	LFD
130	Waveform 1	1	44783.898277490	44784.907656801	10.742	36.524						sel. 130	20 Hz	Y	20	165.8	LF	LFC
130	Spectrogram 1	1	44783.898277490	44784.907656801	10.742	36.524	0.3840	7.812	19.531	15.625	23.438	sel. 130	20 Hz	Y	20	165.8	LF	LFC
137	Waveform 1	1	44885.223834757	44886.233214068	9.668	38.673						sel. 137	20 Hz	Y	10	160.8	LF	LFC
137	Spectrogram 1	1	44885.223834757	44886.233214068	9.668	38.673	0.5120	7.812	19.531	15.625	23.438	sel. 137	20 Hz	Y	10	160.8	LF	LFC
149	Waveform 1	1	45032.922930862	45033.913617963	8.594	48.599						sel. 149	20 Hz	Y	20	164.8	LF	LFC
149	Spectrogram 1	1	45032.922930862	45033.913617963	8.594	48.599	0.6400	7.812	19.531	15.625	23.438	sel. 149	20 Hz	Y	20	164.8	LF	LFC
150	Waveform 1	1	45041.078352433	45042.396153199	8.594	34.376						sel. 150	20 Hz	Y	21	166.8	LF	LFD
150	Spectrogram 1	1	45041.078352433	45042.396153199	8.594	34.376	0.6400	7.812	19.531	15.625	23.438	sel. 150	20 Hz	Y	21	166.8	LF	LFD
166	Waveform 1	1	45209.902957375	45210.734760696	8.888	32.227						sel. 166	20 Hz	Y	12	159.8	LF	LFC
166	Spectrogram 1	1	45209.902957375	45210.734760696	8.888	32.227	0.3840	7.812	19.531	15.625	23.438	sel. 166	20 Hz	Y	12	159.8	LF	LFC
169	Waveform 1	1	45252.149398317	45253.300634840	9.668	36.524						sel. 169	20 Hz	Y	16	160.8	LF	LFC
169	Spectrogram 1	1	45252.149398317	45253.300634840	9.668	36.524	0.3840	7.812	19.531	15.625	23.438	sel. 169	20 Hz	Y	16	160.8	LF	LFC
172	Waveform 1	1	45286.697270000	45288.229847261	9.668	36.524						sel. 172	20 Hz	Y	17	164.8	LF	LFD
172	Spectrogram 1	1	45286.697270000	45288.229847261	9.668	36.524	0.5120	7.812	19.531	15.625	23.438	sel. 172	20 Hz	Y	17	164.8	LF	LFD
174	Waveform 1	1	45336.718798476	45337.829781975	7.520	34.376						sel. 174	20 Hz	Y	10	158.8	LF	LFC
174	Spectrogram 1	1	45336.718798476	45337.829781975	7.520	34.376	0.5120	7.812	19.531	15.625	23.438	sel. 174	20 Hz	Y	10	158.8	LF	LFC
175	Waveform 1	1	45345.344399400	45346.439281689	6.445	52.335						sel. 175	20 Hz	Y	12	160.8	LF	LFC
175	Spectrogram 1	1	45345.344399400	45346.439281689	6.445	52.335	0.6400	7.812	19.531	15.625	23.438	sel. 175	20 Hz	Y	12	160.8	LF	LFC
210	Waveform 1	1	45942.669201661	45943.683577899	10.942	33.736						sel. 210	20 Hz	Y	12	160.8	LF	LFC
210	Spectrogram 1	1	45942.669201661	45943.683577899	10.942	33.736	0.5120	7.812	19.531	15.625	23.438	sel. 210	20 Hz	Y	12	160.8	LF	LFC
211	Waveform 1	1	45951.349127833	45952.427908911	11.853	31.913						sel. 211	20 Hz	Y	17	162.8	LF	LFC
211	Spectrogram 1	1	45951.349127833	45952.427908911	11.853	31.913	0.5120	7.812	19.531	15.625	23.438	sel. 211	20 Hz	Y	17	162.8	LF	LFC
212	Waveform 1	1	45960.323574560	45961.474811084	6.239	86.309						sel. 212	20 Hz	Y	20	166.8	LF	LFC
212	Spectrogram 1	1	45960.323574560	45961.474811084	6.239	86.309	0.5120	7.812	19.531	15.625	23.438	sel. 212	20 Hz	Y	20	166.8	LF	LFC
213	Waveform 1	1	45970.628232426	45971.819721975	9.118	34.648						sel. 213	20 Hz	Y	23	166.8	LF	LFC
213	Spectrogram 1	1	45970.628232426	45971.819721975	9.118	34.648	0.5120	7.812	19.531	15.625	23.438	sel. 213	20 Hz	Y	23	166.8	LF	LFC
214	Waveform 1	1	45978.470085165	45979.758181975	9.118	75.910						sel. 214	20 Hz	Y	22	166.8	LF	LFC
214	Spectrogram 1	1	45978.470085165	45979.758181975	9.118	75.910	0.5120	7.812	19.531	15.625	23.438	sel. 214	20 Hz	Y	22	166.8	LF	LFC
215	Waveform 1	1	45988.345405451	45989.383933504	8.206	66.551						sel. 215	20 Hz	Y	21	164.8	LF	LFC
215	Spectrogram 1	1	45988.345405451	45989.383933504	8.206	66.551	0.5120	7.812	19.531	15.625	23.438	sel. 215	20 Hz	Y	21	164.8	LF	LFC
217	Waveform 1	1	46006.169640000	46007.442095446	8.206	37.384						sel. 217	20 Hz	Y	19	165.8	LF	LFC
217	Spectrogram 1	1	46006.169640000	46007.442095446	8.206	37.384	0.5120	7.812	19.531	15.625	23.438	sel. 217	20 Hz	Y	19	165.8	LF	LFC
218	Waveform 1	1	46014.417687266	46015.810441942	10.030	93.588						sel. 218	20 Hz	Y	22	166.8	LF	LFC
218	Spectrogram 1	1	46014.417687266	46015.810441942	10.030	93.588	0.6400	7.812	19.531	15.625	23.438	sel. 218	20 Hz	Y	22	166.8	LF	LFC
219	Waveform 1	1	46022.652921821	46023.941018630	10.942	29.177						sel. 219	20 Hz	Y	21	164.8	LF	LFC
219	Spectrogram 1	1	46022.652921821	46023.941018630	10.942	29.177	0.6400	7.812	19.531	15.625	23.438	sel. 219	20 Hz	Y	21	164.8	LF	LFC
231	Waveform 1	1	46168.087170000	46169.431531975	10.942	76.950						sel. 231	20 Hz	Y	21	166.8	LF	LFC
231	Spectrogram 1	1	46168.087170000	46169.431531975	10.942	76.950	0.6400	7.812	19.531	15.625	23.438	sel. 231	20 Hz	Y	21	166.8	LF	LFC
232	Waveform 1	1	46177.410250000	46178.515791370	9.118	51.993						sel. 232	20 Hz	Y	19	164.8	LF	LFC
232	Spectrogram 1	1	46177.410250000	46178.515791370	9.118	51.993	0.6400	7.812	19.531	15.625	23.438	sel. 232	20 Hz	Y	19	164.8	LF	LFC
233	Waveform 1	1	46186.365098762	46187.508284681	9.118	34.648						sel. 233	20 Hz	Y	22	166.8	LF	LFC
233	Spectrogram 1	1	46186.365098762	46187.508284681	9.118	34.648	0.5120	7.812	19.531	15.625	23.438	sel. 233	20 Hz	Y	22	166.8	LF	LFC
234	Waveform 1	1	46195.888346056	46196.838317453	9.118	46.794						sel. 234	20 Hz	Y	20	163.8	LF	LFC
234	Spectrogram 1	1	46195.888346056	46196.838317453	9.118	46.794	0.5120	7.812	19.531	15.625	23.438	sel. 234	20 Hz	Y	20	163.8	LF	LFC
236	Waveform 1	1	46212.961532140	46214.104718058	10.030	51.993						sel. 236	20 Hz	Y	16	160.8	LF	LFC
236	Spectrogram 1	1	46212.961532140	46214.104718058	10.030	51.993	0.5120	7.812	19.531	15.625	23.438	sel. 236	20 Hz	Y	16	160.8	LF	LFC
237	Waveform 1	1	46222.453210000	46223.677910732	6.239	72.790						sel. 237	20 Hz	Y	22	165.8	LF	LFC
237	Spectrogram 1	1	46222.453210000	46223.677910732	6.239	72.790	0.5120	7.812	19.531	15.625	23.438	sel. 237	20 Hz	Y	22	165.8	LF	LFC
238	Waveform 1	1	46230.934682778	46232.085919301	8.206	69.671						sel. 238	20 Hz	Y	19	162.8	LF	LFC
238	Spectrogram 1	1	46230.934682778	46232.085919301	8.206	69.671	0.6400	7.812	19.531	15.625	23.438	sel. 238	20 Hz	Y	19	162.8	LF	LFC
240	Waveform 1	1	46247.674501535	46248.737181403	6.239	63.432						sel. 240	20 Hz	Y	21	164.8	LF	LFC
240	Spectrogram 1	1	46247.674501535	46248.737181403	6.239	63.432	0.6400	7.812	19.531	15.625	23.438	sel. 240	20 Hz	Y	21	164.8	LF	LFC
242	Waveform 1	1	46266.312690000	46267.336845581	4.159	53.033						sel. 242	20 Hz	Y	20	164.8	LF	LFC
242	Spectrogram 1	1	46266.312690000	46267.336845581	4.159	53.033	0.6400	7.812	19.531	15.625	23.438	sel. 242	20 Hz	Y	20	164.8	LF	LFC
243	Waveform 1	1	46275.081920000	46276.201413949	6.239	43.674						sel. 243	20 Hz	Y	20	163.8	LF	LFC
243	Spectrogram 1	1	46275.081920000	46276.201413949	6.239	43.674	0.6400	7.812	19.531	15.625	23.438	sel. 243	20 Hz	Y	20	163.8	LF	LFC
244	Waveform 1	1	46283.083096056	46284.379243471	10.942	49.913						sel. 244	20 Hz	Y	20	163.8	LF	LFD
244	Spectrogram 1	1	46283.083096056	46284.379243471	10.942	49.913	0.6400	7.812	19.531	15.625	23.438	sel. 244	20 Hz	Y	20	163.8	LF	LFD
245	Waveform 1	1	46294.025304400	46294.959174587	12.765	44.714						sel. 245	20 Hz	Y	10	154.8	LF	LFC
245	Spectrogram 1	1	46294.025304400	46294.959174587	12.765	44.714	0.5120	7.812	19.531	15.625	23.438	sel. 245	20 Hz	Y	10	154.8	LF	LFC
246	Waveform 1	1	46302.866530000	46304.165285891	11.853	56.153						sel. 246	20 Hz	Y	22	166.8	LF	LFC
246	Spectrogram 1	1	46302.866530000	46304.165285891	11.853	56.153	0.5120	7.812	19.531	15.625	23.438	sel. 246	20 Hz	Y	22	166.8	LF	LFC
247	Waveform 1	1	46312.243721535	46313.451312294	7.279	56.153						sel. 247	20 Hz	Y	24	167.8	LF	LFC
247	Spectrogram 1	1	46312.243721535	46313.451312294	7.279	56.153	0.6400	7.812	19.531	15.625	23.438	sel. 247	20 Hz	Y	24	167.8	LF	LFC
248	Waveform 1	1	46322.779820000	46323.963718790	6.239	64.472						sel. 248	20 Hz	Y	22	167.8	LF	LFC
248	Spectrogram 1	1	46322.779820000	46323.963718790	6.239	64.472	0.5120	7.812	19.531	15.625	23.438	sel. 248	20 Hz	Y	22	167.8	LF	LFC
249	Waveform 1	1	46331.613914686	46332.724898185	9.118	49.913						sel. 249	20 Hz	Y	17	163.8	LF	LFC
249	Spectrogram 1	1	46331.613914686	46332.724898185	9.118	49.913	0.5120	7.812	19.531	15.625	23.438	sel. 249	20 Hz	Y	17	163.8	LF	LFC
272	Waveform 1	1	46945.217426089	46946.545775924	9.118	56.153						sel. 272	20 Hz	Y	20	165.8	LF	LFC
272	Spectrogram 1	1	46945.217426089	46946.545775924	9.118	56.153	0.6400	7.812	19.531	15.625	23.438	sel. 272	20 Hz	Y	20	165.8	LF	LFC
273	Waveform 1	1	46953.798836661	46954.966174395	6.239	51.993						sel. 273	20 Hz	Y	20	166.8	LF	LFC
273	Spectrogram 1	1	46953.798836661	46954.966174395	6.239	51.993	0.6400	7.812	19.531	15.625	23.438	sel. 273	20 Hz	Y	20	166.8	LF	LFC
274	Waveform 1	1	46963.512680000	46964.841489681	9.118	49.913						sel. 274	20 Hz	Y	21	165.8	LF	LFC
274	Spectrogram 1	1	46963.512680000	46964.841489681	9.118	49.913	0.5120	7.812	19.531	15.625	23.438	sel. 274	20 Hz	Y	21	165.8	LF	LFC
284	Waveform 1	1	47200.904483476	47201.967163344	10.030	35.560						sel. 284	nfc 20 Hz?	Y	12	157.8	LF	LFC
284	Spectrogram 1	1	47200.904483476	47201.967163344	10.030	35.560	0.3840	7.812	19.531	15.625	23.438	sel. 284	nfc 20 Hz?	Y	12	157.8	LF	LFC
299	Waveform 1	1	47414.295611216	47415.309987453	9.118	50.953						sel. 299	20 Hz	Y	20	167.8	LF	LFC
299	Spectrogram 1	1	47414.295611216	47415.309987453	9.118	50.953	0.5120	7.812	19.531	15.625	23.438	sel. 299	20 Hz	Y	20	167.8	LF	LFC
303	Waveform 1	1	47448.817210132	47449.863788790	10.942	54.073						sel. 303	20 Hz	Y	20	168.8	LF	LFC
303	Spectrogram 1	1	47448.817210132	47449.863788790	10.942	54.073	0.5120	7.812	19.531	15.625	23.438	sel. 303	20 Hz	Y	20	168.8	LF	LFC
304	Waveform 1	1	47459.202960000	47460.328904840	9.118	54.073						sel. 304	20 Hz	Y	21	169.8	LF	LFC
304	Spectrogram 1	1	47459.202960000	47460.328904840	9.118	54.073	0.5120	7.812	19.531	15.625	23.438	sel. 304	20 Hz	Y	21	169.8	LF	LFC
305	Waveform 1	1	47468.785170006	47469.847849873	7.279	48.874						sel. 305	20 Hz	Y	21	167.8	LF	LFC
305	Spectrogram 1	1	47468.785170006	47469.847849873	7.279	48.874	0.5120	7.812	19.531	15.625	23.438	sel. 305	20 Hz	Y	21	167.8	LF	LFC
329	Waveform 1	1	48067.550919114	48068.726307453	7.294	49.913						sel. 329	20 Hz	Y	21	165.8	LF	LFC
329	Spectrogram 1	1	48067.550919114	48068.726307453	7.294	49.913	0.6400	7.812	19.531	15.625	23.438	sel. 329	20 Hz	Y	21	165.8	LF	LFC
330	Waveform 1	1	48083.758910292	48084.926248025	8.206	50.953						sel. 330	20 Hz	Y	22	167.8	LF	LFC
330	Spectrogram 1	1	48083.758910292	48084.926248025	8.206	50.953	0.5120	7.812	19.531	15.625	23.438	sel. 330	20 Hz	Y	22	167.8	LF	LFC
331	Waveform 1	1	48099.016314081	48100.183651815	8.206	30.089						sel. 331	20 Hz	Y	19	166.8	LF	LFC
331	Spectrogram 1	1	48099.016314081	48100.183651815	8.206	30.089	0.5120	7.812	19.531	15.625	23.438	sel. 331	20 Hz	Y	19	166.8	LF	LFC
333	Waveform 1	1	48131.189653955	48132.115473537	6.383	70.711						sel. 333	20 Hz	Y	12	162.8	LF	LFC
333	Spectrogram 1	1	48131.189653955	48132.115473537	6.383	70.711	0.3840	7.812	19.531	15.625	23.438	sel. 333	20 Hz	Y	12	162.8	LF	LFC
334	Waveform 1	1	48146.661100000	48147.920821848	8.206	32.825						sel. 334	20 Hz	Y	19	163.8	LF	LFC
334	Spectrogram 1	1	48146.661100000	48147.920821848	8.206	32.825	0.6400	7.812	19.531	15.625	23.438	sel. 334	20 Hz	Y	19	163.8	LF	LFC
337	Waveform 1	1	48154.113913064	48155.418111084	8.206	82.101						sel. 337	20 Hz	Y	26	170.8	LF	LFD
337	Spectrogram 1	1	48154.113913064	48155.418111084	8.206	82.101	0.5120	7.812	19.531	15.625	23.438	sel. 337	20 Hz	Y	26	170.8	LF	LFD
344	Waveform 1	1	48572.763392585	48573.938780924	10.942	48.817						sel. 344	nfc 20 Hz?	Y	14	158.8	LF	LFC
344	Spectrogram 1	1	48572.763392585	48573.938780924	10.942	48.817	0.5120	7.812	19.531	15.625	23.438	sel. 344	nfc 20 Hz?	Y	14	158.8	LF	LFC
345	Waveform 1	1	48588.243726342	48589.322507420	10.030	56.583						sel. 345	nfc 20 Hz?	Y	13	157.8	LF	LFC
345	Spectrogram 1	1	48588.243726342	48589.322507420	10.030	56.583	0.6400	7.812	19.531	15.625	23.438	sel. 345	nfc 20 Hz?	Y	13	157.8	LF	LFC
353	Waveform 1	1	48719.180754114	48720.275636403	6.657	59.912						sel. 353	nfc 20 Hz?	Y	15	159.8	LF	LFC
