"POS_T","datetime","tagtime","Latitude","Longitude","Satellites","Residual_Error"
739097.875892991,2023-07-30 21:01:17,2023-07-30 21:01:16,41.114715294562,-70.7888011772018,8,5.04845284098128
739097.8807538,2023-07-30 21:08:17,2023-07-30 21:08:16,41.117800218675,-70.7910327973041,8,8.94110459255806
739097.896031974,2023-07-30 21:30:17,2023-07-30 21:30:16,41.1292798596646,-70.7957248920487,7,6.28290563936797
739097.897420812,2023-07-30 21:32:17,2023-07-30 21:32:16,41.1302286710852,-70.7961222914428,6,3.5382410476438
739097.92728252,2023-07-30 22:15:17,2023-07-30 22:15:16,41.1551794960313,-70.8016779044214,5,2.94088603553512
739097.985615497,2023-07-30 23:39:17,2023-07-30 23:39:16,41.1892218890251,-70.8071510520324,11,11.3078333704545
739098.026587745,2023-07-31 00:38:17,2023-07-31 00:38:16,41.1859661540502,-70.8126970578205,8,11.1797186991176
739098.037698933,2023-07-31 00:54:17,2023-07-31 00:54:16,41.1792941340875,-70.8119649770452,10,8.69401941403435
739098.223810748,2023-07-31 05:22:17,2023-07-31 05:22:16,41.0812247009986,-70.8101816197915,8,13.3037170311455
739098.234921649,2023-07-31 05:38:17,2023-07-31 05:38:16,41.0843525234962,-70.8124301256912,9,13.0166253938028
739098.268949113,2023-07-31 06:27:17,2023-07-31 06:27:16,41.0856575022988,-70.8151243310142,6,5.12282650070337
739098.360616591,2023-07-31 08:39:17,2023-07-31 08:39:16,41.0898763207985,-70.7994294952525,8,8.35200316706035
739098.365477382,2023-07-31 08:46:17,2023-07-31 08:46:16,41.0896200006011,-70.799342173902,8,4.92662209981622
